SOCName,Employer Name,Number of Records,Mean National Wage,Mean Prevailing Wage,Median National Wage,Median Prevailing Wage
Mechanical_Engineers,"CARESOFT GLOBAL, INC.",82,87140,58171.43902,83060,55515
Mechanical_Engineers,"PRICOL TECHNOLOGIES, INC.",68,87140,55470.17647,83060,58594
Mechanical_Engineers,"AXIS, INC.",68,87140,66546.82353,83060,68073.5
Network_and_Computer_Systems_Administrators,DELOITTE CONSULTING LLP,97,79770,70109.70103,75790,71552
Network_and_Computer_Systems_Administrators,WIPRO LIMITED,404,79770,67175.33911,75790,66456
Network_and_Computer_Systems_Administrators,IGATE TECHNOLOGIES INC.,45,79770,66957.08889,75790,66976
Network_and_Computer_Systems_Administrators,"TECH MAHINDRA (AMERICAS), INC.",44,79770,68137.09091,75790,69108
Network_and_Computer_Systems_Administrators,"TECH MAHINDRA ( AMERICAS), INC",44,79770,69140.59091,75790,68910
Network_and_Computer_Systems_Administrators,"V-SOFT CONSULTING GROUP, INC",64,79770,54031.70313,75790,55577.5
Network_and_Computer_Systems_Administrators,"ITECH US, INC.",31,79770,69618.96774,75790,69389
Network_and_Computer_Systems_Administrators,"MICROEXCEL, INC",32,79770,67408.8125,75790,67558.5
Network_and_Computer_Systems_Administrators,"ELAN TECHNOLOGIES, INC.",35,79770,57802.68571,75790,56222
Network_and_Computer_Systems_Administrators,"NOVISYNC SOLUTIONS, INC.",32,79770,65442.65625,75790,65624
Operations_Research_Analysts,DELOITTE CONSULTING LLP,24,82940,56134.08333,76660,54330
Operations_Research_Analysts,KPMG LLP,110,82940,63730,76660,58968
Operations_Research_Analysts,"GOLDMAN, SACHS & CO.",70,82940,84530.57143,76660,96096
Operations_Research_Analysts,KFORCE INC.,56,82940,53930.68571,76660,55515.2
Operations_Research_Analysts,MORGAN STANLEY & CO. LLC,58,82940,86571.03448,76660,96096
Operations_Research_Analysts,DEUTSCHE BANK SECURITIES INC.,30,82940,82097.53333,76660,61568
Operations_Research_Analysts,CREDIT SUISSE SECURITIES (USA) LLC,40,82940,79431,76660,86778
Operations_Research_Analysts,GOLDMAN SACHS & CO.,40,82940,85988.45,76660,96096
Operations_Research_Analysts,GENPACT LLC,40,82940,65002.8,76660,63960
Operations_Research_Analysts,"AMERICAN AIRLINES, INC.",48,82940,44329.79167,76660,44387
Software_Developers_Applications,GOOGLE INC.,1889,99530,564413.4479,95510,98675
Software_Developers_Applications,"NTT DATA, INC.",407,99530,88478.38329,95510,88920
Software_Developers_Applications,MICROSOFT CORPORATION,1140,99530,88800.42105,95510,87547
Software_Developers_Applications,IBM CORPORATION,280,99530,78266.30714,95510,76388
Software_Developers_Applications,"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",756,99530,87040.92513,95510,88733
Software_Developers_Applications,CAPGEMINI FINANCIAL SERVICES USA INC,361,99530,70591.30194,95510,71240
Software_Developers_Applications,"RANDSTAD TECHNOLOGIES, LP",428,99530,78836.50841,95510,77428
Software_Developers_Applications,CERNER CORPORATION,427,99530,61966.73068,95510,60258
Software_Developers_Applications,HCL GLOBAL SYSTEMS INC,321,99530,72692.82492,95510,71219.2
Software_Developers_Applications,"FACEBOOK, INC.",391,99530,119191.9156,95510,121315
Software_Developers_Systems_Software,DELOITTE CONSULTING LLP,2153,106050,79653.04412,102880,78062
Software_Developers_Systems_Software,GOOGLE INC.,87,106050,110029.1034,102880,110094
Software_Developers_Systems_Software,IBM CORPORATION,101,106050,87511.55446,102880,85072
Software_Developers_Systems_Software,INTEL CORPORATION,500,106050,94816.878,102880,92861.5
Software_Developers_Systems_Software,"QUALCOMM TECHNOLOGIES, INC.",246,106050,92829.51626,102880,92352
Software_Developers_Systems_Software,"ORACLE AMERICA, INC.",176,106050,111858.8864,102880,102236
Software_Developers_Systems_Software,MOTOROLA MOBILITY LLC,213,106050,87720.26761,102880,91939
Software_Developers_Systems_Software,"APEX TECHNOLOGY SYSTEMS, INC",72,106050,75227.98611,102880,74755
Software_Developers_Systems_Software,"CISCO SYSTEMS, INC.",80,106050,101791.85,102880,99390.5
Software_Developers_Systems_Software,QUALCOMM INNOVATION CENTER INC.,75,106050,101712.808,102880,92352
